Home,Visitor,R-Coefficient,Home_Score,Visitor_Score,Prediction,Winner,Logic
ATL,ORL,,,,,ATL,
MIL,CHI,,,,,MIL,
DET,UTA,,,,,UTA,
MIA,WAS,,,,,WAS,
BKN,MIN,,,,,MIN,
PHX,POR,,,,,PHX,
BOS,CHA,,,,,BOS,
LAC,SAC,,,,,LAC,
DEN,HOU,,,,,HOU,
DAL,OKC,,,,,OKC,
PHI,IND,,,,,IND,
CLE,TOR,,,,,TOR,
GSW,SAS,,,,,SAS,
ORL,WAS,,,,,ORL,
MIN,MIL,,,,,MIL,
POR,NYK,,,,,NYK,
PHX,LAL,,,,,LAL,
CHA,CLE,,,,,CHA,
TOR,MIA,,,,,MIA,
GSW,MIN,,,,,MIN,
OKC,SAS,,,,,OKC,
DET,LAC,,,,,LAC,
DEN,IND,,,,,DEN,
UTA,CHI,,,,,UTA,
BKN,DAL,,,,,DAL,
TOR,SAC,,,,,SAC,
MIA,ORL,,,,,ORL,
ATL,BOS,,,,,BOS,
NYK,PHX,,,,,PHX,
POR,WAS,,,,,POR,
PHI,HOU,,,,,HOU,
NOP,LAL,,,,,LAL,
MEM,LAC,,,,,MEM,
UTA,ORL,,,,,UTA,
IND,ATL,,,,,ATL,
BOS,CHI,,,,,BOS,
TOR,BKN,,,,,TOR,
OKC,CLE,,,,,OKC,
DEN,WAS,,,,,WAS,
SAS,MIL,,,,,MIL,
NOP,SAC,,,,,NOP,
MEM,LAC,,,,,MEM,
UTA,ORL,,,,,UTA,
TOR,BKN,,,,,TOR,
OKC,CLE,,,,,OKC,
DEN,WAS,,,,,WAS,
MIL,SAS,,,,,MIL,
DET,GSW,,,,,DET,
IND,ATL,,,,,ATL,
BOS,CHI,,,,,BOS,
CHA,DAL,,,,,CHA,
NOP,SAC,,,,,NOP,
NYK,LAC,,,,,LAC,
MIN,CLE,,,,,MIN,
DET,LAL,,,,,LAL,
POR,MIA,,,,,MIA,
MEM,PHX,,,,,MEM,
BKN,ORL,,,,,ORL,
DEN,ATL,,,,,DEN,
CHI,DAL,,,,,DAL,
GSW,SAC,,,,,SAC,
OKC,PHI,,,,,PHI,
UTA,NOP,,,,,UTA,
MIL,SAS,,,,,SAS,
SAC,GSW,,,,,SAC,
DET,CLE,,,,,DET,
OKC,BKN,,,,,OKC,
SAC,PHX,,,,,SAC,
POR,TOR,,,,,POR,
MIN,MEM,,,,,MEM,
NYK,LAL,,,,,LAL,
BOS,TOR,,,,,BOS,
HOU,GSW,,,,,GSW,
NOP,DEN,,,,,NOP,
MIL,PHI,,,,,PHI,
LAC,LAL,,,,,LAC,
WAS,DET,,,,,DET,
MEM,OKC,,,,,TOR,
MIN,SAC,,,,,MIN,
NYK,BKN,,,,,NYK,
SAS,DAL,,,,,DAL,
POR,UTA,,,,,UTA,
CLE,BOS,,,,,BOS,
PHI,ORL,,,,,ORL,
IND,MIA,,,,,MIA,
OKC,CHA,,,,,OKC,
MIL,ATL,,,,,MIL,
PHX,GSW,,,,,GSW,
MEM,DEN,,,,,DEN,
IND,NOP,,,,,NOP,
ATL,CHI,,,,,CHI,
BKN,HOU,,,,,HOU,
TOR,BOS,,,,,TOR,
PHI,MIA,,,,,MIA,
NYK,WAS,,,,,NYK,
CLE,MIN,,,,,CLE,
DAL,GSW,,,,,DAL,
LAL,POR,,,,,LAL,
PHX,SAC,,,,,PHX,
UTA,LAC,,,,,UTA,
OKC,TOR,,,,,OKC,
SAC,DEN,,,,,DEN,
DAL,LAL,,,,,LAL,
HOU,NOP,,,,,NOP,
CHA,MEM,,,,,MEM,
WAS,ORL,,,,,ORL,
MIA,IND,,,,,MIA,
DEN,DAL,,,,,DEN,
CHI,NOP,,,,,NOP,
SAS,BOS,,,,,SAS,
TOR,CHA,,,,,TOR,
HOU,ATL,,,,,HOU,
NYK,UTA,,,,,UTA,
